ax,ay,az,gx,gy,gz
0.287476,0.827148,0.646362,-22.885496,-14.312977,6.603053
0.253906,0.816528,0.713013,-16.641221,-3.946565,5.129771
0.287231,0.818115,0.707397,-7.320611,-5.328244,2.824427
0.303101,0.835449,0.613647,-1.702290,2.083969,-0.885496
0.250122,0.851807,0.534424,-3.916031,12.801527,-2.480916
0.204956,0.842041,0.521973,-11.259542,3.595420,-0.190840
0.249634,0.830322,0.601929,-17.175573,1.175573,0.091603
0.265747,0.827759,0.626587,-15.641221,4.893130,-3.351145
0.288086,0.833862,0.571167,-14.396947,9.961832,-6.358779
0.263062,0.827148,0.588989,-16.793893,23.198473,-10.022901
0.207520,0.828003,0.601929,-15.664122,35.725191,-9.297710
0.181274,0.825562,0.612061,-14.061069,41.984733,-6.702290
0.152710,0.830688,0.620483,-15.488550,35.824427,-4.824427
0.182007,0.826782,0.629761,-16.870229,29.786260,-1.351145
0.255127,0.821289,0.545532,-20.534351,28.022901,-4.580153
0.256836,0.825928,0.545410,-30.404580,35.412214,-11.824427
0.100586,0.809082,0.707764,-33.633588,37.106870,-12.572519
0.057983,0.787842,0.801514,-24.274809,33.427481,-4.076336
0.139038,0.789429,0.765625,-12.618321,21.511450,-0.519084
0.182983,0.807861,0.667847,-10.984733,6.610687,-3.786260
0.169312,0.817871,0.663086,-14.954198,3.335878,-6.198473
0.142578,0.809448,0.701904,-15.305344,14.564885,-5.213740
0.125610,0.802734,0.687256,-14.839695,20.183206,-5.221374
0.102417,0.805176,0.687378,-16.748092,7.343511,-5.351145
0.153442,0.798950,0.667725,-20.564885,-8.427481,-6.480916
0.154419,0.794922,0.736206,-22.351145,-8.526718,-9.061069
0.087891,0.787598,0.784424,-16.877863,-8.015267,-7.916031
0.099731,0.794922,0.739502,-11.480916,-10.954198,-5.175573
0.143188,0.805786,0.662109,-14.442748,-8.351145,-5.343511
0.176147,0.795288,0.704834,-20.152672,-8.328244,-8.648855
0.177856,0.788208,0.730591,-18.557252,-8.557252,-12.305344
0.215332,0.805420,0.606934,-20.931298,-12.832061,-18.671756
0.236450,0.794067,0.498779,-38.541985,-16.251908,-29.374046
0.165283,0.747681,0.513184,-58.900763,-12.740458,-38.061069
0.049805,0.767456,0.591431,-74.083969,-33.687023,-38.824427
0.026611,0.736206,0.535034,-89.328244,-41.503817,-32.778626
-0.037964,0.689331,0.747437,-97.351145,-7.427481,-15.503817
-0.011475,0.650391,0.892456,-86.099237,8.427481,-1.618321
-0.067993,0.637329,1.001099,-69.755725,-27.244275,8.259542
0.073608,0.632690,0.798828,-59.725191,-54.274809,15.290076
0.176758,0.677612,0.623901,-73.748092,-60.671756,13.610687
0.175049,0.619141,0.913940,-87.137405,-30.541985,16.709924
0.236084,0.560669,0.974121,-80.213740,-36.045802,10.885496
0.220459,0.559082,0.927856,-75.412214,-25.923664,5.931298
0.214111,0.549194,0.872559,-78.938931,-10.954198,4.694656
0.081909,0.511108,1.134888,-76.213740,-12.900763,8.770992
0.102295,0.509033,1.112549,-54.961832,-11.679389,20.083969
0.209961,0.508179,0.853638,-46.496183,-0.641221,24.870229
0.206055,0.488525,0.828979,-58.793893,7.351145,20.267176
0.173828,0.452637,1.028564,-64.190840,-2.832061,18.511450
0.160034,0.435303,1.014648,-58.366412,-15.129771,19.030534
0.247803,0.438232,0.881958,-58.938931,-19.045802,19.450382
0.264160,0.411865,0.855835,-70.534351,-23.740458,13.564885
0.194092,0.367065,1.146118,-74.893130,-33.503817,12.664122
0.237305,0.327026,1.244385,-55.801527,-32.954198,17.725191
0.283203,0.331421,1.122681,-35.412214,-9.129771,21.664122
0.275635,0.345703,0.961548,-31.229008,9.167939,22.053435
0.260986,0.328247,0.952393,-41.335878,5.206107,20.908397
0.338257,0.285034,1.159424,-45.473282,-12.671756,16.374046
0.356567,0.265503,1.186646,-34.694656,-18.396947,10.190840
0.328979,0.273315,1.122314,-25.938931,-5.541985,7.633588
0.238892,0.293579,1.037231,-22.480916,5.053435,7.656489
0.202881,0.290527,0.984497,-28.511450,-0.404580,10.923664
0.290283,0.279907,1.040894,-32.603053,-7.885496,13.053435
0.324707,0.265991,0.980591,-34.236641,-6.717557,10.587786
0.289062,0.262329,0.984497,-38.740458,-3.511450,8.061069
0.193481,0.245361,1.028076,-39.778626,11.580153,13.450382
0.242432,0.214966,1.102417,-36.007634,16.190840,19.885496
0.334839,0.204834,1.071045,-32.534351,10.625954,16.526718
0.308350,0.214111,0.994141,-34.458015,9.862595,10.648855
0.258179,0.200317,1.094238,-38.778626,0.351145,9.709924
0.259277,0.162231,1.219482,-31.412214,-1.091603,11.679389
0.293335,0.138672,1.234497,-17.709924,5.328244,12.450382
0.364746,0.145386,1.184448,-6.755725,7.580153,7.809160
0.345947,0.157837,1.094360,-3.664122,8.465649,-0.557252
0.261108,0.169189,1.072388,-6.549618,5.259542,-3.206107
0.222290,0.170288,1.110352,-7.564885,1.992366,-1.534351
0.220215,0.176025,1.094604,-5.229008,2.106870,1.725191
0.250610,0.177002,1.056030,-6.114504,1.015267,2.977099
0.307983,0.166016,1.089355,-7.229008,-2.870229,0.167939
0.274170,0.167114,1.080078,-5.244275,1.145038,-3.389313
0.214966,0.185181,1.057373,-4.778626,3.687023,-2.244275
0.211792,0.185547,1.044800,-7.167939,2.190840,1.030534
0.252197,0.176270,1.061035,-9.030534,0.152672,1.603053
0.265991,0.174438,1.039551,-9.916031,-0.343511,-0.381679
0.224854,0.172974,1.042847,-12.839695,3.053435,-0.068702
0.237671,0.167480,1.071289,-13.809160,-2.290076,-0.106870
0.252686,0.163208,1.055786,-15.106870,-2.015267,0.053435
0.241943,0.160034,1.088257,-15.625954,-0.557252,-0.061069
0.245117,0.151489,1.115112,-12.961832,4.603053,0.839695
0.224243,0.156006,1.071533,-11.129771,5.587786,1.061069
0.207153,0.157227,1.038818,-13.473282,6.282443,2.167939
0.240112,0.154541,1.068970,-16.893130,0.564885,3.007634
0.264404,0.144775,1.083496,-18.465649,1.076336,1.106870
0.225952,0.147095,1.099487,-16.801527,8.717557,0.740458
0.177734,0.147217,1.052612,-16.740458,8.145038,3.190840
0.167358,0.136719,1.041626,-20.358779,12.770992,7.832061
0.227173,0.115601,1.095581,-22.061069,9.671756,9.488550
0.222290,0.113770,1.073120,-21.725191,5.656489,6.847328
0.180664,0.122070,1.047974,-24.335878,3.687023,7.206107
0.217285,0.104126,1.087280,-26.801527,1.190840,8.236641
0.210815,0.086182,1.150391,-24.961832,1.022901,7.564885
0.235352,0.078613,1.188721,-18.938931,-2.572519,6.748092
0.250488,0.078247,1.180908,-12.473282,-2.366412,3.709924
0.223999,0.069458,1.141113,-7.404580,-3.312977,1.358779
0.200195,0.077637,1.088745,-7.809160,-11.778626,-0.007634
0.212891,0.078369,1.066528,-9.610687,-11.198473,2.160305
0.240845,0.081909,1.036377,-13.328244,-9.305344,2.488550
0.251709,0.076660,1.043823,-17.511450,-11.618321,0.022901
0.206299,0.066284,1.102173,-18.793893,-9.022901,0.435115
0.221680,0.054688,1.121460,-16.030534,-5.656489,2.267176
0.208618,0.062256,1.087036,-13.358779,0.534351,4.755725
0.249268,0.058350,1.050415,-15.007634,-3.557252,3.641221
0.248535,0.066895,1.043457,-19.229008,-9.870229,0.122137
0.246094,0.051636,1.118164,-20.770992,-14.603053,-0.580153
0.250366,0.039429,1.113037,-17.274809,-13.091603,-1.435115
0.228271,0.034668,1.072266,-15.152672,-9.412214,-1.328244
0.229248,0.038696,1.046875,-16.328244,-9.175573,-0.236641
0.265869,0.031738,1.074585,-19.366412,-14.442748,-0.580153
0.283691,0.029053,1.074219,-19.664122,-16.198473,-2.809160
