ax,ay,az,gx,gy,gz
-0.134521,-0.017578,1.068726,-8.801527,-4.946565,-6.396947
-0.135620,-0.018555,1.083740,-12.190840,-4.839695,-3.824427
-0.084351,-0.022705,1.169556,-12.587786,-5.801527,-2.450382
-0.063232,-0.031494,1.188354,-6.664122,-2.732824,-3.656489
-0.096436,-0.038086,1.103882,-3.603053,-2.137405,-4.770992
-0.101929,-0.050415,1.054565,-5.992366,-1.954198,-3.877863
-0.102417,-0.052490,1.079712,-9.320611,-1.458015,-2.954198
-0.055298,-0.044556,1.125122,-9.358779,-1.351145,-2.343511
-0.045166,-0.045044,1.109863,-7.534351,-3.083969,-4.404580
-0.091064,-0.044189,1.069214,-8.450382,-6.236641,-4.885496
-0.098389,-0.044678,1.100220,-11.381679,-4.641221,-2.977099
-0.055908,-0.036743,1.127197,-11.343511,-0.977099,-1.916031
-0.037720,-0.028320,1.139160,-10.229008,-2.748092,-3.603053
-0.073242,-0.037720,1.129761,-9.412214,-5.870229,-5.526718
-0.121338,-0.050903,1.135742,-9.236641,-7.091603,-4.190840
-0.075806,-0.072876,1.134277,-8.938931,-4.687023,-2.244275
-0.073608,-0.073975,1.133789,-8.702290,-3.977099,-2.870229
-0.064087,-0.062378,1.152954,-8.015267,-6.793893,-3.122137
-0.132202,-0.150146,1.024658,-0.778626,3.053435,-1.786260
-0.152100,-0.149902,1.028931,-5.038168,-1.580153,1.000000
-0.061646,-0.161621,1.089844,-8.732824,1.351145,0.916031
-0.091553,-0.151611,1.139038,-6.931298,3.183206,-1.717557
-0.079468,-0.150269,1.125732,-4.832061,0.343511,-3.114504
-0.129272,-0.146606,1.078247,-3.900763,1.175573,-6.328244
-0.183716,-0.144531,1.066650,-6.129771,-2.717557,-3.969466
-0.128052,-0.163818,1.099243,-7.496183,2.458015,-3.389313
-0.192749,-0.157471,1.113525,-5.885496,5.091603,-3.183206
-0.166504,-0.156372,1.121460,-4.358779,2.442748,-0.816794
-0.128906,-0.160400,1.090454,-1.488550,6.900763,-1.740458
-0.163574,-0.152466,1.008545,-2.770992,4.328244,-2.442748
-0.171509,-0.151733,1.009155,-7.908397,-2.274809,-1.045802
-0.170898,-0.156860,1.053955,-10.595420,-1.725191,-0.793893
-0.180908,-0.165771,1.076660,-10.778626,-1.366412,0.916031
-0.139771,-0.185913,1.073364,-10.412214,-0.740458,2.335878
-0.107422,-0.185913,1.051880,-11.694656,-0.305344,1.534351
-0.114502,-0.186401,1.086426,-13.229008,0.175573,-0.137405
-0.141602,-0.178345,1.101685,-12.160305,3.076336,0.015267
-0.132935,-0.171021,1.090210,-10.503817,3.419847,1.007634
-0.108521,-0.164185,1.055786,-9.885496,2.015267,0.236641
-0.138916,-0.155884,0.985474,-12.030534,3.236641,-1.412214
-0.177612,-0.146973,0.971924,-19.870229,1.885496,-0.664122
-0.199341,-0.132935,1.057983,-29.488550,-0.190840,0.755725
-0.264282,-0.135864,1.262939,-36.198473,-6.389313,5.923664
-0.250122,-0.137207,1.560425,-38.328244,-10.465649,13.129771
-0.102051,-0.169678,1.973145,-30.809160,-15.778626,17.137405
0.012329,-0.222656,1.999939,-5.748092,-15.305344,8.167939
-0.179810,-0.223389,1.999939,20.801527,-42.694656,-0.045802
-0.266357,-0.242920,1.999939,37.656489,-64.541985,1.610687
-0.253906,-0.252563,1.999939,57.969466,-55.732824,5.671756
-0.199829,-0.253174,1.999939,83.458015,-33.755725,10.015267
-0.096191,-0.257812,1.796265,106.900763,-31.992366,9.381679
-0.072632,-0.270508,1.408325,121.740458,-44.358779,2.366412
-0.106934,-0.270264,1.029907,123.755725,-48.106870,-3.824427
-0.097900,-0.251221,0.682861,117.923664,-32.740458,-5.343511
-0.080933,-0.207031,0.319702,100.931298,-9.167939,-5.801527
-0.183105,-0.135986,0.149292,76.343511,2.633588,-2.106870
-0.182373,-0.088379,0.108032,52.725191,4.442748,7.679389
0.005615,-0.054199,0.108032,31.206107,0.984733,12.946565
0.110718,-0.028687,0.180298,9.625954,-2.564885,10.763359
0.174194,-0.036011,0.343262,-8.305344,-0.885496,11.381679
0.391846,-0.053589,0.484863,-22.564885,-1.709924,6.145038
0.581909,-0.093994,0.727905,-36.206107,-7.053435,-7.106870
0.689209,-0.151001,1.044922,-41.015267,-14.694656,-26.145038
0.672363,-0.179077,1.368164,-33.045802,-18.404580,-45.587786
0.618530,-0.161255,1.531128,-12.778626,-13.717557,-61.114504
0.516235,-0.144653,1.527222,11.351145,0.412214,-73.877863
0.355957,-0.105103,1.308350,31.427481,16.435115,-81.709924
0.184448,-0.035645,1.035278,37.770992,25.732824,-86.221374
0.020142,0.035767,0.826782,32.152672,21.290076,-89.427481
-0.199707,0.084839,0.784668,22.931298,13.297710,-90.870229
-0.415405,0.124023,0.713013,17.251908,12.015267,-87.702290
-0.607910,0.145630,0.592407,5.717557,10.404580,-77.893130
-0.669800,0.141113,0.615356,-9.282443,6.320611,-64.221374
-0.649170,0.122803,0.648315,-20.167939,1.244275,-50.854962
-0.627563,0.110840,0.694824,-29.717557,-8.526718,-39.893130
-0.577881,0.090576,0.797363,-36.190840,-14.396947,-29.083969
-0.496582,0.056641,0.850464,-36.206107,-14.236641,-18.526718
-0.369507,0.001709,0.791260,-36.824427,-13.282443,-10.839695
-0.251709,-0.044800,0.761719,-40.015267,-20.038168,-7.480916
-0.176758,-0.079834,0.747314,-43.282443,-25.290076,-6.381679
