ax,ay,az,gx,gy,gz
-0.170410,-0.195435,1.178101,-8.198473,-1.725191,2.343511
-0.161133,-0.180542,1.174927,-6.977099,1.725191,1.992366
-0.167969,-0.167847,1.175537,-5.450382,0.595420,0.564885
-0.139526,-0.156616,1.149292,-3.244275,-4.045802,-0.580153
-0.190186,-0.151001,1.117065,-2.648855,-6.648855,-3.083969
-0.274658,-0.168213,1.115479,-0.656489,-3.465649,-0.091603
-0.259399,-0.174927,1.088745,-1.541985,4.580153,5.442748
-0.108154,-0.153931,1.117310,-0.702290,6.709924,5.335878
-0.120239,-0.128418,1.049683,-0.610687,-1.679389,-1.145038
-0.216919,-0.127563,1.044800,-4.038168,-9.328244,-2.732824
-0.179565,-0.151367,1.111084,-5.893130,-6.015267,-0.816794
-0.224731,-0.145264,1.092896,-4.496183,-2.908397,2.053435
-0.150635,-0.143311,1.060303,-4.900763,-0.992366,4.343511
-0.129150,-0.145386,1.054077,-7.435115,-3.679389,2.229008
-0.166016,-0.132080,1.099854,-8.503817,-6.404580,0.641221
-0.193237,-0.121582,1.097046,-7.427481,-4.977099,1.885496
-0.151367,-0.134399,1.083984,-6.786260,-5.755725,2.419847
-0.169556,-0.144165,1.061279,-7.038168,-5.458015,1.625954
-0.193604,-0.142456,1.037354,-8.557252,-3.442748,2.137405
-0.186890,-0.131836,1.032104,-9.534351,-4.870229,3.381679
-0.175659,-0.125854,0.993774,-11.175573,-7.381679,3.587786
-0.188477,-0.125122,0.970093,-14.610687,-7.412214,4.748092
-0.182983,-0.141357,0.972412,-18.755725,-4.633588,6.274809
-0.140381,-0.159668,1.010864,-20.625954,-3.854962,6.320611
-0.145630,-0.156494,0.927490,-22.519084,-4.022901,3.564885
-0.219604,-0.142212,0.894531,-27.267176,-7.389313,3.786260
-0.248169,-0.118896,0.872070,-32.664122,-6.091603,9.694656
-0.189697,-0.092896,0.833984,-37.534351,4.519084,13.236641
-0.128418,-0.053833,0.727661,-50.167939,-0.251908,12.328244
-0.225220,-0.039917,1.081177,-70.167939,-24.473282,17.267176
-0.029785,-0.175903,1.999939,-77.847328,-0.809160,36.488550
0.251099,-0.337646,1.999939,-54.312977,18.450382,42.923664
0.874756,-0.533813,1.999939,19.923664,-9.419847,20.053435
1.078735,-0.773071,1.999939,107.641221,-96.404580,-39.038168
0.441040,-0.971802,1.999939,184.137405,-131.419847,-80.801527
0.104370,-1.063232,1.999939,241.015267,-79.358779,-89.679389
-0.181763,-1.015625,1.233276,247.717557,-33.488550,-87.480916
-0.000854,-0.954712,-0.315063,207.648855,-43.740458,-99.106870
-0.915283,-0.696289,-0.886841,145.419847,-81.106870,-119.458015
-1.678955,-0.520630,-1.262329,126.045802,-30.603053,-71.541985
-1.100586,-0.409058,-1.938721,85.404580,44.122137,-5.587786
-0.045654,-0.219727,-1.681519,24.656489,35.343511,4.145038
0.238525,-0.088135,-0.953857,-6.419847,1.938931,-10.480916
0.374878,-0.122559,-0.819946,-13.847328,15.809160,-11.374046
0.673096,-0.234497,-0.983643,-38.007634,41.458015,-16.625954
0.710693,-0.399414,-0.855835,-80.786260,43.045802,-33.083969
0.623901,-0.632935,-0.516724,-117.877863,29.938931,-53.923664
0.218750,-0.733887,-0.287354,-141.290076,23.671756,-66.984733
-0.053467,-0.691650,-0.076904,-166.061069,37.839695,-67.160305
-0.120239,-0.482178,0.559692,-185.480916,36.770992,-78.396947
-0.907471,-0.369507,1.420410,-188.816794,10.053435,-87.625954
-1.524292,-0.384277,1.999939,-184.145038,21.229008,-57.038168
-1.266357,-0.384399,1.999939,-160.129771,51.595420,-22.229008
-1.075684,-0.268433,1.999939,-96.839695,50.061069,-16.755725
-1.187500,-0.125732,1.999939,-16.091603,35.549618,-19.167939
-1.438110,0.110962,1.999939,46.320611,20.335878,-4.305344
-1.555176,0.212769,1.999939,63.572519,-6.152672,17.961832
-1.447632,0.194092,1.999939,67.480916,-31.938931,41.343511
-1.243896,0.174072,1.939453,87.068702,-53.877863,58.740458
-1.149414,0.150879,1.310791,98.091603,-64.061069,72.007634
-1.188721,-0.003540,0.877441,89.885496,-55.854962,92.175573
-1.179443,-0.250122,0.473877,69.961832,-33.381679,121.022901
-0.759277,-0.452393,0.410278,45.160305,-17.900763,149.358779
0.133057,-0.608154,0.437378,33.580153,-19.404580,160.076336
0.910767,-0.767822,0.234863,20.427481,-38.839695,144.038168
1.531128,-0.834229,0.369873,-7.854962,-41.870229,114.511450
1.999939,-0.859863,0.868896,-18.702290,-35.961832,74.625954
1.999939,-0.839111,1.113770,-12.305344,-35.442748,26.633588
1.999939,-0.737305,1.362427,-2.488550,-32.564885,-23.358779
1.999939,-0.618286,1.440796,12.259542,-14.244275,-69.091603
1.953125,-0.518799,1.361816,24.625954,2.351145,-112.068702
1.546021,-0.416870,1.266968,34.251908,12.740458,-152.343511
0.750610,-0.363403,1.056519,37.381679,20.297710,-186.763359
-0.150879,-0.394775,1.048340,30.847328,28.786260,-198.458015
-0.850342,-0.358032,1.093872,34.900763,39.419847,-188.641221
-1.377563,-0.197266,0.906128,37.648855,33.908397,-173.778626
-2.000000,-0.054810,0.840820,36.290076,15.015267,-147.687023
-2.000000,0.085693,0.622803,34.664122,18.572519,-95.374046
-2.000000,0.242554,0.411133,24.259542,33.358779,-35.847328
-1.547241,0.348877,0.283691,6.770992,29.885496,1.068702
-1.224487,0.356934,0.434448,-5.992366,6.045802,15.435115
-1.075073,0.247681,0.319092,-3.450382,-7.328244,27.274809
-0.958374,0.122192,-0.145508,-16.000000,-5.137405,41.068702
-1.077881,0.042358,-0.519165,-43.961832,-5.381679,54.961832
-1.454468,-0.194336,-0.829834,-83.007634,-3.648855,83.053435
-1.496338,-0.502686,-1.090820,-135.320611,-19.793893,124.938931
-0.789062,-0.812134,-0.482788,-193.931298,-36.977099,164.938931
0.401855,-1.023560,0.580200,-229.610687,-22.664122,181.877863
1.313599,-1.108276,1.999939,-235.297710,-17.534351,153.702290
1.636719,-0.992798,1.999939,-162.412214,-14.587786,100.076336
1.286255,-0.728882,1.999939,-64.465649,-4.610687,50.305344
0.817871,-0.551025,1.999939,-7.091603,12.221374,24.335878
0.543213,-0.427246,1.941772,-2.862595,34.671756,13.076336
0.316406,-0.348267,1.999939,-4.587786,37.633588,2.244275
0.159424,-0.279053,1.875977,20.137405,20.167939,-10.519084
-0.069336,-0.242310,1.282349,31.702290,-2.526718,-22.465649
