ax,ay,az,gx,gy,gz
-0.269287,0.010620,1.093506,-6.343511,-3.496183,5.671756
-0.226318,0.015259,1.102051,-6.396947,-0.984733,9.961832
-0.142822,0.004395,1.105713,-5.290076,-1.320611,10.091603
-0.135620,0.010864,1.075195,-4.480916,-4.778626,6.236641
-0.168945,0.004028,1.063354,-6.977099,-7.198473,3.251908
-0.219116,0.001343,1.092041,-8.755725,-5.381679,3.793893
-0.188477,-0.171021,1.077515,-3.687023,1.213740,0.412214
-0.187012,-0.167847,1.046997,-4.938931,-2.648855,-0.335878
-0.193115,-0.171265,1.034302,-8.587786,-3.809160,-0.625954
-0.201050,-0.166626,1.078857,-11.870229,-4.824427,-1.122137
-0.213745,-0.166748,1.165039,-11.229008,-3.549618,-0.335878
-0.185181,-0.170288,1.171387,-5.106870,-1.671756,0.763359
-0.163208,-0.168945,1.064453,-1.748092,0.106870,-0.267176
-0.165283,-0.161255,0.988525,-6.854962,-3.404580,-2.190840
-0.209351,-0.163940,1.062378,-13.312977,-8.893130,-3.916031
-0.229858,-0.175415,1.156738,-11.908397,-6.664122,-1.755725
-0.205200,-0.177979,1.139893,-6.603053,-0.931298,0.076336
-0.175415,-0.178955,1.085693,-5.015267,-0.671756,0.511450
-0.145142,-0.179565,1.053711,-6.603053,-4.221374,-2.351145
-0.199707,-0.181030,1.065430,-8.954198,-7.045802,-4.526718
-0.227661,-0.181763,1.086548,-8.854962,-5.946565,-2.984733
-0.231445,-0.175659,1.064453,-7.992366,-4.091603,-0.091603
-0.198242,-0.175293,1.032959,-8.946565,-2.458015,1.282443
-0.184692,-0.170898,1.007690,-11.870229,-3.671756,0.045802
-0.238525,-0.171753,1.009277,-15.755725,-3.770992,0.343511
-0.278198,-0.171753,1.015625,-19.458015,-6.526718,4.320611
-0.275757,-0.170776,1.079346,-25.145038,-5.076336,10.412214
-0.254517,-0.190063,1.220337,-28.290076,-5.221374,15.381679
-0.241455,-0.195068,1.452271,-28.427481,-13.381679,19.977099
-0.159180,-0.195435,1.834717,-23.061069,-25.236641,22.908397
-0.084473,-0.255615,1.999939,-2.961832,-28.167939,19.473282
0.004272,-0.362549,1.999939,55.458015,6.694656,17.824427
0.013672,-0.303589,1.999939,122.946565,-0.572519,8.328244
-0.074585,-0.245850,1.907227,143.671756,-16.725191,-1.610687
-0.194092,-0.259277,1.850586,164.282443,-21.458015,-2.664122
-0.103394,-0.271240,1.532104,189.114504,-19.167939,-5.328244
-0.121460,-0.192749,1.095947,204.648855,-24.068702,-7.641221
-0.195190,-0.088257,0.652100,193.236641,-37.801527,-8.946565
-0.257935,-0.014160,0.401001,157.274809,-45.282443,-6.740458
-0.187134,-0.007080,0.326538,123.511450,-46.709924,-3.717557
-0.110840,0.060791,0.161499,86.946565,-48.312977,-12.282443
-0.236450,0.074463,0.333862,50.694656,-42.152672,-17.061069
-0.296875,0.056274,0.545410,39.160305,-34.076336,-8.076336
-0.145630,0.070557,0.618286,47.938931,-4.694656,1.877863
-0.043701,0.071045,0.357910,45.519084,16.877863,4.396947
0.083862,0.073730,0.138672,23.358779,12.900763,-0.786260
0.076782,0.094238,0.155640,-9.954198,-1.511450,-11.725191
-0.037476,0.092163,0.324829,-34.343511,-15.465649,-15.061069
-0.070679,0.066284,0.397217,-48.305344,-13.862595,-11.251908
0.033447,0.045776,0.412720,-57.022901,2.625954,-9.740458
0.083252,0.045288,0.295410,-67.923664,13.167939,-14.587786
0.093384,-0.010132,0.263184,-95.977099,8.061069,-21.366412
0.082275,-0.086548,0.545898,-121.496183,0.732824,-29.931298
0.071777,-0.079834,0.806763,-124.076336,0.893130,-37.351145
0.038086,-0.074219,0.790894,-125.374046,6.519084,-44.480916
-0.100830,-0.096313,0.922119,-138.816794,9.099237,-52.229008
-0.218994,-0.078125,1.259155,-142.801527,20.076336,-52.045802
-0.273071,-0.013794,1.452637,-133.099237,22.946565,-49.206107
-0.302368,0.025024,1.553955,-119.496183,12.160305,-48.519084
-0.439697,0.028320,1.656982,-108.786260,4.801527,-46.007634
-0.574829,0.036011,1.734375,-96.786260,1.679389,-36.450382
-0.542603,0.015259,1.807983,-87.946565,0.419847,-18.404580
-0.497192,0.012573,1.938599,-76.030534,3.053435,-9.183206
-0.484741,-0.005371,1.999939,-56.068702,1.755725,-1.305344
