ax,ay,az,gx,gy,gz
-0.102173,-0.085083,1.094971,-5.633588,-2.206107,0.152672
-0.095825,-0.086060,1.102417,-6.488550,-2.748092,0.374046
-0.089844,-0.085327,1.111694,-6.519084,-0.610687,0.679389
-0.085938,-0.088501,1.112427,-6.022901,0.244275,0.106870
-0.092407,-0.089111,1.108643,-5.847328,0.374046,-0.175573
-0.090698,-0.088867,1.099487,-6.053435,-0.473282,-0.694656
-0.081787,-0.018066,1.101929,-6.496183,1.541985,4.778626
-0.037598,-0.014282,1.084351,-6.595420,-2.076336,1.656489
-0.074829,-0.015503,1.072754,-7.977099,-7.496183,-2.870229
-0.148804,-0.019775,1.077759,-9.526718,-6.618321,-2.679389
-0.168457,-0.026001,1.077148,-9.839695,-1.099237,1.839695
-0.135010,-0.037842,1.043457,-11.351145,1.961832,5.641221
-0.104248,-0.041138,1.045776,-15.236641,1.404580,7.206107
-0.070312,-0.042969,1.087158,-17.404580,-2.893130,6.656489
-0.070312,-0.045166,1.113770,-17.885496,-7.053435,5.030534
-0.097778,-0.041260,1.151733,-17.290076,-7.053435,4.908397
-0.142334,-0.026611,1.172729,-15.450382,-5.954198,7.206107
-0.159180,-0.013184,1.226440,-12.519084,-7.725191,12.793893
-0.170654,-0.001709,1.295410,-8.755725,-15.442748,16.526718
-0.142090,0.001099,1.448364,-2.954198,-20.129771,22.496183
-0.116943,0.018188,1.631104,5.954198,-20.503817,27.083969
-0.109497,0.039795,1.872437,18.335878,-18.244275,30.251908
-0.128784,0.044800,1.999939,34.526718,-24.580153,33.954198
-0.002075,0.013916,1.999939,57.206107,-33.229008,36.687023
0.033447,0.042603,1.999939,75.259542,-53.007634,28.541985
-0.083862,0.151978,1.999939,84.679389,-73.137405,23.549618
-0.262817,0.236084,1.999939,92.122137,-80.221374,27.007634
-0.325562,0.201660,1.999939,107.786260,-64.007634,41.541985
0.061157,0.117798,1.999939,146.259542,-42.114504,49.931298
0.106934,0.074463,1.558105,167.603053,-73.274809,32.961832
0.010742,0.003052,1.232544,181.694656,-109.557252,21.335878
-0.147217,-0.043457,0.760986,190.709924,-100.015267,18.900763
-0.142212,-0.107544,0.311035,173.992366,-66.557252,28.916031
0.149048,-0.107910,0.041260,147.519084,-13.351145,30.870229
0.171021,-0.120239,-0.035645,118.320611,17.427481,23.664122
0.292969,-0.145142,-0.074463,93.022901,11.671756,19.007634
0.338989,-0.121460,-0.112549,67.839695,-10.587786,4.946565
0.224121,-0.153320,-0.025635,47.549618,-33.068702,2.755725
0.426270,-0.207153,-0.041260,38.587786,-30.587786,9.702290
0.691284,-0.314087,-0.274658,28.992366,-8.244275,2.427481
0.829346,-0.393555,-0.653320,1.374046,7.572519,-12.458015
1.029907,-0.509399,-0.911255,-48.061069,40.374046,-38.916031
1.101196,-0.714966,-1.114868,-106.648855,24.961832,-70.938931
1.107056,-1.023438,-1.376831,-176.404580,-16.335878,-105.427481
1.174561,-1.423340,-1.819580,-250.137405,-25.412214,-143.480916
0.980835,-1.976562,-1.741455,-250.137405,35.519084,-195.022901
0.244995,-2.000000,-0.621094,-250.137405,83.664122,-234.618321
-0.391113,-2.000000,0.931030,-250.137405,30.755725,-233.671756
-0.821655,-2.000000,1.999939,-250.137405,52.374046,-232.870229
-2.000000,-2.000000,1.999939,-250.137405,55.496183,-191.740458
-2.000000,-2.000000,1.999939,-250.137405,78.564885,-94.511450
-2.000000,-1.753540,1.999939,-199.916031,204.946565,-4.893130
-1.330933,-1.134644,1.999939,-89.282443,250.129771,54.984733
-0.276855,-0.625732,1.999939,-43.748092,176.053435,27.488550
-0.100952,-0.446655,1.999939,27.687023,15.190840,-27.709924
-0.458252,-0.565918,1.999939,107.297710,-69.206107,-62.633588
-0.540649,-0.686279,1.999939,147.809160,-70.274809,-64.519084
-0.499756,-0.723633,1.785156,155.038168,-34.641221,-51.374046
-0.266846,-0.778931,1.602417,162.580153,20.885496,-38.381679
-0.145386,-0.735596,1.528931,173.969466,39.198473,-36.870229
-0.116089,-0.639160,1.831421,204.083969,20.702290,-39.450382
0.048950,-0.583008,1.768311,250.129771,25.763359,-47.091603
-0.070068,-0.492310,1.403442,250.129771,21.923664,-62.801527
-0.329224,-0.380615,1.002319,250.129771,17.992366,-68.824427
-0.429810,-0.301514,0.797607,250.129771,28.366412,-65.503817
-0.547119,-0.179565,0.550781,250.129771,48.900763,-56.320611
-0.548340,0.002319,-0.102173,250.129771,35.725191,-40.312977
-0.444214,0.131226,-0.463135,250.129771,32.641221,-36.000000
-0.351685,0.153564,-0.562256,244.000000,48.076336,-36.877863
-0.333374,0.158936,-0.640381,202.076336,37.053435,-43.572519
-0.499023,0.132935,-0.851440,162.358779,30.625954,-47.221374
-0.828247,0.101685,-0.967407,108.740458,34.511450,-40.099237
-1.159668,0.024414,-0.940674,53.511450,7.374046,-16.885496
-1.296021,-0.065918,-0.786499,2.946565,-9.778626,15.312977
-1.302368,-0.202148,-0.750854,-37.099237,20.312977,50.038168
-1.344849,-0.294189,-0.964478,-85.877863,35.984733,85.190840
-1.291260,-0.404785,-0.725830,-143.809160,24.290076,124.045802
-0.998901,-0.589844,-0.563843,-176.862595,8.305344,159.572519
-0.637695,-0.855713,-1.004517,-218.015267,-0.893130,179.259542
-0.534790,-1.212402,-1.439575,-250.137405,-4.381679,182.305344
-0.553467,-1.752197,-0.931641,-250.137405,-14.061069,198.984733
-0.328979,-2.000000,0.580078,-250.137405,24.091603,220.641221
0.315918,-2.000000,1.999939,-250.137405,70.122137,233.190840
1.980591,-1.800781,1.999939,-250.137405,7.183206,175.992366
1.615845,-1.252075,1.999939,-250.137405,-49.236641,78.236641
0.524414,-0.858276,1.999939,-148.793893,-22.748092,60.687023
0.517578,-0.673828,1.999939,-77.557252,55.183206,75.503817
0.981445,-0.605713,1.999939,-54.740458,85.038168,60.732824
0.687134,-0.489990,1.999939,-19.900763,52.427481,28.244275
0.513672,-0.407104,1.999939,15.396947,25.923664,-2.267176
0.167236,-0.335083,1.999939,39.229008,27.679389,-13.007634
0.111328,-0.322632,1.706177,46.389313,37.427481,-14.358779
0.052368,-0.270386,1.507690,50.114504,33.114504,-18.519084
-0.072021,-0.221558,1.332764,51.374046,24.152672,-21.076336
-0.147949,-0.175415,1.180908,49.404580,19.541985,-22.198473
-0.250000,-0.104858,1.088623,45.465649,12.404580,-21.526718
-0.276001,-0.059326,1.049805,43.000000,4.534351,-19.931298
-0.278809,-0.037720,0.983276,43.282443,1.648855,-21.137405
-0.317749,-0.004028,0.866089,41.129771,-4.526718,-21.053435
-0.364502,0.029663,0.821045,34.541985,-11.854962,-20.755725
-0.384521,0.053589,0.787842,26.442748,-15.167939,-16.786260
-0.397583,0.065186,0.819946,20.160305,-10.396947,-11.305344
-0.361206,0.076660,0.797607,14.038168,-7.320611,-6.625954
-0.325562,0.067871,0.825562,6.755725,-12.229008,-4.961832
-0.318848,0.050781,0.850586,2.381679,-14.396947,-2.480916
-0.259888,0.045288,0.834473,-4.900763,-9.480916,-0.419847
-0.208862,0.041382,0.932007,-13.664122,-8.656489,-0.809160
-0.211548,0.037109,1.083496,-14.106870,-10.137405,-3.251908
-0.252930,0.025024,1.127197,-8.809160,-9.000000,-3.290076
-0.243286,0.019043,1.093872,-3.977099,-8.526718,-2.106870
-0.225220,0.019775,1.048706,-4.786260,-5.305344,-1.572519
-0.234741,0.015991,1.098633,-6.320611,-2.916031,-0.748092
