ax,ay,az,gx,gy,gz
-1.352783,0.114136,1.999939,-45.725191,3.526718,-19.297710
-1.336914,0.252197,1.999939,7.015267,6.290076,8.503817
-1.282227,0.314575,1.999939,59.412214,-12.893130,28.129771
-1.333252,0.270142,1.999939,101.419847,-29.954198,46.916031
-1.315430,0.180298,1.380005,108.503817,-34.908397,77.274809
-1.047119,0.080811,1.013550,91.083969,-34.427481,108.374046
-0.664673,-0.072876,0.941284,76.374046,-35.450382,127.450382
-0.201660,-0.338745,0.839233,71.862595,-46.106870,132.778626
0.138306,-0.582397,0.507080,64.656489,-43.625954,127.106870
0.491211,-0.754150,0.379883,46.458015,-34.099237,123.931298
1.154541,-0.805176,0.213867,20.923664,-20.229008,112.480916
1.888184,-0.829956,0.405396,-12.572519,-32.603053,74.076336
1.999939,-0.838989,0.997681,-23.664122,-50.702290,16.854962
1.999939,-0.820923,1.217285,-9.450382,-39.351145,-40.816794
1.701782,-0.784302,1.102783,3.511450,-9.870229,-78.641221
1.587402,-0.722168,1.014282,8.763359,16.648855,-110.580153
1.329346,-0.629395,0.872314,9.687023,22.572519,-149.274809
0.669800,-0.530029,0.900146,5.480916,20.396947,-180.961832
-0.018799,-0.436157,0.984741,6.992366,29.022901,-189.435115
-0.474854,-0.257935,0.930542,7.847328,36.465649,-185.732824
-0.970215,-0.061523,0.852783,7.183206,33.503817,-178.580153
-1.750610,0.038330,0.704834,-1.709924,14.809160,-154.931298
-2.000000,0.150757,0.820679,-11.106870,12.358779,-102.931298
-2.000000,0.257202,0.898315,-8.053435,34.648855,-36.572519
-2.000000,0.258667,0.724121,-3.610687,50.587786,20.572519
-1.656250,0.182983,0.427490,-11.320611,33.679389,53.885496
-1.366699,0.103638,0.411499,-29.480916,8.206107,75.732824
-1.210693,-0.054810,0.483643,-39.656489,3.793893,99.580153
-1.004883,-0.242310,0.243408,-53.000000,12.015267,120.511450
-0.684814,-0.374634,0.132446,-86.664122,-6.877863,137.229008
-0.251831,-0.492798,0.429321,-118.015267,-27.694656,147.732824
0.182007,-0.598267,0.794434,-139.938931,-33.748092,150.007634
0.694946,-0.655762,1.448853,-147.824427,-33.534351,143.000000
1.174927,-0.666992,1.999939,-129.580153,-38.076336,114.572519
1.258423,-0.632812,1.999939,-82.854962,-38.129771,71.129771
0.988770,-0.571655,1.999939,-34.977099,-27.862595,36.137405
0.742676,-0.476929,1.999939,-5.740458,-11.786260,16.198473
0.640869,-0.362793,1.793823,11.877863,0.946565,-1.129771
0.462280,-0.280640,1.555176,26.290076,5.160305,-17.068702
0.272705,-0.225098,1.232300,32.282443,2.549618,-29.717557
0.026855,-0.170532,0.968506,26.358779,-1.854962,-36.152672
-0.197632,-0.142212,0.876953,14.167939,-6.251908,-33.236641
-0.343018,-0.129761,0.882812,3.748092,-1.236641,-22.916031
-0.316528,-0.109863,0.946655,-2.893130,6.389313,-9.809160
-0.106567,-0.105225,1.062378,-2.954198,2.572519,-6.465649
-0.051270,-0.127563,1.071411,1.305344,-6.473282,-14.305344
-0.188843,-0.146729,0.968140,1.358779,-12.335878,-16.908397
-0.299194,-0.157593,0.949463,-6.679389,-9.458015,-9.587786
-0.241211,-0.152832,1.098755,-11.992366,1.770992,0.580153
-0.110229,-0.146362,1.220093,-8.450382,8.580153,5.145038
0.055176,-0.153076,1.219360,-0.977099,4.160305,-1.282443
-0.077759,-0.156006,1.125122,3.312977,-1.664122,-9.022901
-0.182251,-0.148682,1.052612,-0.740458,-2.366412,-6.358779
-0.175781,-0.137695,1.105713,-5.068702,2.282443,-0.030534
-0.108032,-0.136719,1.172241,-3.480916,6.282443,2.007634
-0.037598,-0.139771,1.183716,0.938931,2.122137,0.221374
-0.083252,-0.138916,1.116699,3.671756,-1.625954,-4.671756
-0.134888,-0.137939,1.067505,2.106870,-6.465649,-3.961832
-0.138550,-0.137451,1.061890,-0.740458,-5.854962,-1.664122
-0.142700,-0.126709,1.115479,-1.435115,-2.900763,0.435115
-0.141968,-0.121216,1.102905,-0.564885,-1.137405,1.389313
